"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
666971,"Gurriel Jr., Lourdes","R","R",28.76530627137782,26.06059986537395,24.78712272087778,-14.765509403972034,31.10328687451302,2.3379806031351893
575929,"Contreras, Willson","R","R",22.615705707283837,30.312338760464566,25.488936566681737,-7.461651094180409,27.943322231996657,5.3276165247128215
665742,"Soto, Juan","L","L",24.855295862914566,30.251495597478932,41.948041123245694,-9.98783034184335,23.222419577743853,-1.6328762851707148
543807,"Springer, George","R","R",26.981757006264402,27.178511207519836,28.752809267434355,-6.607306068144747,22.325864039209925,-4.655892967054473
621043,"Correa, Carlos","R","R",25.759084728604773,28.79055732913448,36.76192266907544,-1.1826418594799653,28.455677919123133,2.6965931905183647
665489,"Guerrero Jr., Vladimir","R","R",27.839877281907246,28.98723298870009,27.903348353834648,-11.881130776601468,34.415938646415285,6.57606136450804
808982,"Lee, Jung Hoo","L","L",26.682784783039235,21.116963757884022,28.07448485583646,-42.74129595803177,30.209190672484485,3.5264058894452552
657757,"Sheets, Gavin","L","L",29.25310739721635,29.15615901760824,17.079307193158822,-35.66373867467271,34.1050383729819,4.851930975765559
542303,"Ozuna, Marcell","R","R",34.41506070281109,26.101641530061258,34.285987869379284,-26.5118045966513,32.40440092643428,-2.0106597763768232
669701,"Smith, Josh","L","L",31.76427598257892,27.104646890304476,22.00028230457658,-21.553473668999427,30.775074148614493,-0.9892018339644332
672356,"Arias, Gabriel","R","R",29.14403055512306,35.60733784624777,26.54731112692183,-4.39556610418646,34.410518262484615,5.266487707361552
694671,"Langford, Wyatt","R","R",28.844675187150283,27.372052875228945,29.610684479790006,-1.321913444042833,32.01583089822512,3.1711557110748343
656811,"O'Hearn, Ryan","L","L",26.051705787192585,29.257733465881543,25.383950800928996,-7.589784744967661,26.32118794802056,0.26948216082796833
621493,"Ward, Taylor","R","R",31.65932148209616,25.71715222563784,18.463783996636582,-43.36145225525231,33.457903797485244,1.7985823153890805
691026,"Winn, Masyn","R","R",33.57548813337285,23.06399959442486,16.21933996773642,-55.10758878529879,34.01385814064367,0.4383700072707899
502671,"Goldschmidt, Paul","R","R",25.89278115021669,34.04792800200249,35.942408872284474,-9.125057996293954,21.01906493723248,-4.87371621298421
